xlong,ylat,collision
-118.353485,35.024895,0.0
-118.371887,35.034595,0.0
-118.358986,35.036297,0.0
-118.380989,35.050797,0.0
-118.362091,35.028996,0.0
-118.349586,35.056793,0.0
-118.360291,35.020996,0.0
-118.364891,35.043396,0.0
-118.223587,35.014793,0.0
-118.232986,35.033695,0.0
-118.230873,35.018757,0.0
-118.22979,35.027393,0.0
-118.22879,35.028595,0.0
-118.223289,35.025494,0.0
-118.224289,35.032394,0.0
-118.257484,35.029495,0.0
-118.225861,35.031601,0.0
-118.231384,35.034195,0.0
-118.223885,35.009495,0.0
-118.25679,35.033096,0.0
-118.224388,35.017796,0.0
-118.236786,35.032696,0.0
-118.230988,35.026596,0.0
-118.226791,35.036095,0.0
-118.234406,35.00824,0.0
-118.247185,35.034695,0.0
-118.243675,35.03709,0.0
-118.228287,35.035397,0.0
-118.223885,35.008194,0.0
-118.231987,35.017895,0.0
-118.223785,35.012096,0.0
-118.223686,35.013393,0.0
-118.245087,35.036297,0.0
-118.223457,35.018707,0.0
-118.235176,35.017097,0.0
-118.225487,35.016994,0.0
-118.228088,35.029594,0.0
-118.226891,35.030396,0.0
-118.22979,35.034695,0.0
-118.225288,35.036896,0.0
-118.233498,35.010849,0.0
-118.222588,35.032894,0.0
-118.256889,35.031895,0.0
-118.257988,35.028294,0.0
-118.248291,35.033894,0.0
-118.256989,35.030594,0.0
-118.234787,35.033295,0.0
-118.223885,35.010796,0.0
-118.246185,35.035496,0.0
-118.29509,35.016796,0.0
-118.262192,35.012894,0.0
-118.30629,35.002296,0.0
-118.313591,34.998997,0.0
-118.300491,35.010895,0.0
-118.278587,35.013096,0.0
-118.296791,35.014694,0.0
-118.276291,35.014633,0.0
-118.298592,35.012695,0.0
-118.268387,35.005196,0.0
-118.277489,35.013893,0.0
-118.302284,35.010197,0.0
-118.305389,35.003296,0.0
-118.279686,35.012295,0.0
-118.303162,35.006298,0.0
-118.280685,35.011395,0.0
-118.264992,35.007397,0.0
-118.272591,35.017895,0.0
-118.268791,35.019794,0.0
-118.263786,35.009594,0.0
-118.26149,35.013996,0.0
-118.233887,35.009499,0.0
-118.264091,35.008293,0.0
-118.303688,35.005196,0.0
-118.260284,35.016094,0.0
-118.304588,35.004196,0.0
-118.262787,35.011795,0.0
